product,region,sales
Apple iPhone 14,North America,12
Samsung Galaxy S23,North America,18
Google Pixel 8,North America,9
OnePlus 11,North America,6
Apple iPhone 14,Europe,15
Samsung Galaxy S23,Europe,20
Google Pixel 8,Europe,8
OnePlus 11,Europe,5
Apple iPhone 14,Asia,22
Samsung Galaxy S23,Asia,30
Google Pixel 8,Asia,11
OnePlus 11,Asia,13
Apple iPhone 14,South America,10
Samsung Galaxy S23,South America,17
Google Pixel 8,South America,7
OnePlus 11,South America,4
Apple iPhone 14,Africa,5
Samsung Galaxy S23,Africa,12
Google Pixel 8,Africa,6
OnePlus 11,Africa,3
Apple iPhone 14,Oceania,8
Samsung Galaxy S23,Oceania,14
Google Pixel 8,Oceania,5
OnePlus 11,Oceania,2
